Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C9",0402,4,1u,
"C10, C11, C12, C13, C14, C15, C16, C5, C7",0402,9,.1u,
"C3, C4",0402,2,22pF,
C8,0402,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D5, D6, D7, D8, D9",D_SOD-123,47,D_Small,
J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04_MountingPin,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"R3, R4, R5",0402,3,5.1K,
"R6, R7",0402,2,1K,
"R8, R9",0402,2,27,
"SW1, SW10, SW11, SW12, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW44, SW45, SW46, SW47, SW5, SW6, SW7, SW8, SW9",SW_MX_HS_CPG151101S11_1u,41,MX_SW_HS,
"SW13, SW42",SW_MX_HS_CPG151101S11_1.25u,2,MX_SW_HS,
SW24,SW_MX_HS_CPG151101S11_1.5u,1,MX_SW_HS,
"SW25, SW41, SW43",SW_MX_HS_CPG151101S11_1.75u,3,MX_SW_HS,
SW48,SW_SPST_TL3342,1,Boot,
SW49,SW_SPST_TL3342,1,RESET,
U1,SOT-23-3,1,XC6206PxxxMR,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
