Designator,Mid X,Mid Y,Rotation,Layer
C1,103.75,-67.488749,0.0,bottom
C10,125.99,-78.5,180.0,bottom
C11,114.64,-77.77,0.0,bottom
C12,126.460589,-71.319411,135.0,bottom
C13,121.388413,-70.686457,90.0,bottom
C14,120.290933,-70.717943,90.0,bottom
C15,116.622977,-70.919579,90.0,bottom
C16,120.950553,-84.227337,270.0,bottom
C2,109.18378,-69.096048,90.0,bottom
C3,126.896809,-83.381232,90.0,bottom
C4,123.795423,-87.013974,0.0,bottom
C5,136.525,-65.88125,0.0,bottom
C6,117.716917,-70.932235,90.0,bottom
C7,119.511891,-84.751909,270.0,bottom
C8,111.84625,-67.239999,0.0,bottom
C9,115.046177,-70.631616,0.0,bottom
D1,20.699209,-23.176611,90.0,bottom
D10,198.35,-24.60625,90.0,bottom
D11,217.4,-24.60625,90.0,bottom
D12,236.45,-24.60625,90.0,bottom
D13,29.28125,-43.65625,90.0,bottom
D14,50.7125,-43.65625,90.0,bottom
D15,69.7625,-43.65625,90.0,bottom
D16,88.8125,-43.65625,90.0,bottom
D17,107.8625,-43.65625,90.0,bottom
D18,126.9125,-43.65625,90.0,bottom
D19,145.9625,-43.65625,90.0,bottom
D2,45.95,-24.60625,90.0,bottom
D20,165.0125,-43.65625,90.0,bottom
D21,184.0625,-43.65625,90.0,bottom
D22,203.1125,-43.65625,90.0,bottom
D23,222.1625,-43.65625,90.0,bottom
D24,245.975,-43.65625,90.0,bottom
D25,34.04375,-62.70625,90.0,bottom
D26,60.2375,-62.70625,90.0,bottom
D27,79.2875,-62.70625,90.0,bottom
D28,98.3375,-62.70625,90.0,bottom
D29,117.3875,-62.70625,90.0,bottom
D3,65.0,-24.60625,90.0,bottom
D30,136.4375,-62.70625,90.0,bottom
D31,155.4875,-62.70625,90.0,bottom
D32,174.5375,-62.70625,90.0,bottom
D33,193.5875,-62.70625,90.0,bottom
D34,212.6375,-62.70625,90.0,bottom
D35,231.6875,-62.70625,90.0,bottom
D36,250.7375,-62.70625,90.0,bottom
D37,20.709021,-80.306886,90.0,bottom
D38,45.95,-81.75625,90.0,bottom
D39,65.0,-81.75625,90.0,bottom
D4,84.05,-24.60625,90.0,bottom
D40,84.05,-81.75625,90.0,bottom
D41,110.26,-81.7275,90.0,bottom
D42,138.81875,-81.75625,90.0,bottom
D43,167.39375,-81.75625,90.0,bottom
D44,193.5875,-81.75625,90.0,bottom
D45,212.6375,-81.75625,90.0,bottom
D46,231.6875,-81.75625,90.0,bottom
D47,250.7375,-81.75625,90.0,bottom
D5,103.1,-24.60625,90.0,bottom
D6,122.15,-24.60625,90.0,bottom
D7,141.2,-24.60625,90.0,bottom
D8,160.25,-24.60625,90.0,bottom
D9,179.3,-24.60625,90.0,bottom
J2,80.43,-69.27,90.0,bottom
J3,92.75,-87.65,90.0,bottom
R3,97.84375,-80.389999,270.0,bottom
R4,140.19125,-49.60375,0.0,bottom
R5,140.19125,-50.80375,180.0,bottom
R6,140.19125,-52.20375,0.0,bottom
R7,122.185457,-84.240886,90.0,bottom
R8,119.845778,-68.766683,270.0,bottom
R9,118.824006,-68.762074,270.0,bottom
SW1,23.8125,-23.8125,180.0,bottom
SW10,195.2625,-23.8125,0.0,bottom
SW11,214.3125,-23.8125,0.0,bottom
SW12,233.3625,-23.8125,0.0,bottom
SW13,26.19375,-42.8625,0.0,bottom
SW14,47.625,-42.8625,0.0,bottom
SW15,66.675,-42.8625,0.0,bottom
SW16,85.725,-42.8625,0.0,bottom
SW17,104.775,-42.8625,0.0,bottom
SW18,123.825,-42.8625,0.0,bottom
SW19,142.875,-42.8625,0.0,bottom
SW2,42.8625,-23.8125,0.0,bottom
SW20,161.925,-42.8625,0.0,bottom
SW21,180.975,-42.8625,0.0,bottom
SW22,200.025,-42.8625,0.0,bottom
SW23,219.075,-42.8625,0.0,bottom
SW24,242.8875,-42.8625,0.0,bottom
SW25,30.95625,-61.9125,0.0,bottom
SW26,57.15,-61.9125,0.0,bottom
SW27,76.2,-61.9125,0.0,bottom
SW28,95.25,-61.9125,0.0,bottom
SW29,114.3,-61.9125,0.0,bottom
SW3,61.9125,-23.8125,0.0,bottom
SW30,133.35,-61.9125,0.0,bottom
SW31,152.4,-61.9125,0.0,bottom
SW32,171.45,-61.9125,0.0,bottom
SW33,190.5,-61.9125,0.0,bottom
SW34,209.55,-61.9125,0.0,bottom
SW35,228.6,-61.9125,0.0,bottom
SW36,247.65,-61.9125,0.0,bottom
SW37,23.8125,-80.9625,180.0,bottom
SW38,42.8625,-80.9625,0.0,bottom
SW39,61.9125,-80.9625,0.0,bottom
SW4,80.9625,-23.8125,0.0,bottom
SW40,80.9625,-80.9625,0.0,bottom
SW41,107.15625,-80.9625,0.0,bottom
SW42,135.73125,-80.9625,0.0,bottom
SW43,164.30625,-80.9625,0.0,bottom
SW44,190.5,-80.9625,0.0,bottom
SW45,209.55,-80.9625,0.0,bottom
SW46,228.6,-80.9625,0.0,bottom
SW47,247.65,-80.9625,0.0,bottom
SW48,145.81,-50.21,0.0,bottom
SW49,92.2875,-80.389999,0.0,bottom
SW5,100.0125,-23.8125,0.0,bottom
SW6,119.0625,-23.8125,0.0,bottom
SW7,138.1125,-23.8125,0.0,bottom
SW8,157.1625,-23.8125,0.0,bottom
SW9,176.2125,-23.8125,0.0,bottom
U1,106.13125,-69.869999,180.0,bottom
U2,88.062501,-69.27,0.0,bottom
U3,120.65,-76.99375,90.0,bottom
U4,143.66875,-66.675,270.0,bottom
Y1,124.47578,-84.172081,90.0,bottom
